Immobilie,Datum,Energietyp,Verbrauch
buergerhaus-kinderhaus,28.02.22 13-14,Wärme,"310,000"
buergerhaus-kinderhaus,28.02.22 14-15,Wärme,"280,000"
buergerhaus-kinderhaus,28.02.22 15-16,Wärme,"260,000"
buergerhaus-kinderhaus,28.02.22 16-17,Wärme,"250,000"
buergerhaus-kinderhaus,28.02.22 17-18,Wärme,"170,000"
buergerhaus-kinderhaus,28.02.22 18-19,Wärme,"210,000"
buergerhaus-kinderhaus,28.02.22 19-20,Wärme,"170,000"
buergerhaus-kinderhaus,28.02.22 20-21,Wärme,"190,000"
buergerhaus-kinderhaus,28.02.22 21-22,Wärme,"200,000"
buergerhaus-kinderhaus,28.02.22 22-23,Wärme,"230,000"
buergerhaus-kinderhaus,28.02.22 23-00,Wärme,"190,000"
buergerhaus-kinderhaus,27.02.22 00-01,Wärme,"110,000"
buergerhaus-kinderhaus,27.02.22 01-02,Wärme,"120,000"
buergerhaus-kinderhaus,27.02.22 02-03,Wärme,"170,000"
buergerhaus-kinderhaus,27.02.22 03-04,Wärme,"330,000"
buergerhaus-kinderhaus,27.02.22 04-05,Wärme,"210,000"
buergerhaus-kinderhaus,27.02.22 05-06,Wärme,"360,000"
buergerhaus-kinderhaus,27.02.22 06-07,Wärme,"370,000"
buergerhaus-kinderhaus,27.02.22 07-08,Wärme,"420,000"
buergerhaus-kinderhaus,27.02.22 08-09,Wärme,"370,000"
buergerhaus-kinderhaus,27.02.22 09-10,Wärme,"350,000"
buergerhaus-kinderhaus,27.02.22 10-11,Wärme,"350,000"
buergerhaus-kinderhaus,27.02.22 11-12,Wärme,"330,000"
buergerhaus-kinderhaus,27.02.22 12-13,Wärme,"300,000"
buergerhaus-kinderhaus,27.02.22 13-14,Wärme,"290,000"
buergerhaus-kinderhaus,27.02.22 14-15,Wärme,"280,000"
buergerhaus-kinderhaus,27.02.22 15-16,Wärme,"260,000"
buergerhaus-kinderhaus,27.02.22 16-17,Wärme,"290,000"
buergerhaus-kinderhaus,27.02.22 17-18,Wärme,"240,000"
buergerhaus-kinderhaus,27.02.22 18-19,Wärme,"190,000"
buergerhaus-kinderhaus,27.02.22 19-20,Wärme,"160,000"
buergerhaus-kinderhaus,27.02.22 20-21,Wärme,"120,000"
buergerhaus-kinderhaus,27.02.22 21-22,Wärme,"130,000"
buergerhaus-kinderhaus,27.02.22 22-23,Wärme,"110,000"
buergerhaus-kinderhaus,27.02.22 23-00,Wärme,"160,000"
buergerhaus-kinderhaus,26.02.22 00-01,Wärme,"70,000"
buergerhaus-kinderhaus,26.02.22 01-02,Wärme,"40,000"
buergerhaus-kinderhaus,26.02.22 02-03,Wärme,"140,000"
buergerhaus-kinderhaus,26.02.22 03-04,Wärme,"330,000"
buergerhaus-kinderhaus,26.02.22 04-05,Wärme,"350,000"
buergerhaus-kinderhaus,26.02.22 05-06,Wärme,"260,000"
buergerhaus-kinderhaus,26.02.22 06-07,Wärme,"150,000"
buergerhaus-kinderhaus,26.02.22 07-08,Wärme,"230,000"
buergerhaus-kinderhaus,26.02.22 08-09,Wärme,"210,000"
buergerhaus-kinderhaus,26.02.22 09-10,Wärme,"250,000"
buergerhaus-kinderhaus,26.02.22 10-11,Wärme,"210,000"
buergerhaus-kinderhaus,26.02.22 11-12,Wärme,"180,000"
buergerhaus-kinderhaus,26.02.22 12-13,Wärme,"250,000"
buergerhaus-kinderhaus,26.02.22 13-14,Wärme,"240,000"
buergerhaus-kinderhaus,26.02.22 14-15,Wärme,"210,000"
buergerhaus-kinderhaus,26.02.22 15-16,Wärme,"130,000"
buergerhaus-kinderhaus,26.02.22 16-17,Wärme,"190,000"
buergerhaus-kinderhaus,26.02.22 17-18,Wärme,"200,000"
buergerhaus-kinderhaus,26.02.22 18-19,Wärme,"190,000"
buergerhaus-kinderhaus,26.02.22 19-20,Wärme,"220,000"
buergerhaus-kinderhaus,26.02.22 20-21,Wärme,"140,000"
buergerhaus-kinderhaus,26.02.22 21-22,Wärme,"130,000"
buergerhaus-kinderhaus,26.02.22 22-23,Wärme,"120,000"
buergerhaus-kinderhaus,26.02.22 23-00,Wärme,"110,000"
buergerhaus-kinderhaus,25.02.22 00-01,Wärme,"120,000"
buergerhaus-kinderhaus,25.02.22 01-02,Wärme,"100,000"
buergerhaus-kinderhaus,25.02.22 02-03,Wärme,"190,000"
buergerhaus-kinderhaus,25.02.22 03-04,Wärme,"220,000"
buergerhaus-kinderhaus,25.02.22 04-05,Wärme,"260,000"
buergerhaus-kinderhaus,25.02.22 05-06,Wärme,"370,000"
buergerhaus-kinderhaus,25.02.22 06-07,Wärme,"380,000"
buergerhaus-kinderhaus,25.02.22 07-08,Wärme,"440,000"
buergerhaus-kinderhaus,25.02.22 08-09,Wärme,"420,000"
buergerhaus-kinderhaus,25.02.22 09-10,Wärme,"410,000"
buergerhaus-kinderhaus,25.02.22 10-11,Wärme,"400,000"
buergerhaus-kinderhaus,25.02.22 11-12,Wärme,"350,000"
buergerhaus-kinderhaus,25.02.22 12-13,Wärme,"250,000"
buergerhaus-kinderhaus,25.02.22 13-14,Wärme,"250,000"
buergerhaus-kinderhaus,25.02.22 14-15,Wärme,"240,000"
buergerhaus-kinderhaus,25.02.22 15-16,Wärme,"260,000"
buergerhaus-kinderhaus,25.02.22 16-17,Wärme,"240,000"
buergerhaus-kinderhaus,25.02.22 17-18,Wärme,"250,000"
buergerhaus-kinderhaus,25.02.22 18-19,Wärme,"300,000"
buergerhaus-kinderhaus,25.02.22 19-20,Wärme,"240,000"
buergerhaus-kinderhaus,25.02.22 20-21,Wärme,"250,000"
buergerhaus-kinderhaus,25.02.22 21-22,Wärme,"250,000"
buergerhaus-kinderhaus,25.02.22 22-23,Wärme,"180,000"
buergerhaus-kinderhaus,25.02.22 23-00,Wärme,"90,000"
buergerhaus-kinderhaus,24.02.22 00-01,Wärme,"80,000"
buergerhaus-kinderhaus,24.02.22 01-02,Wärme,"80,000"
buergerhaus-kinderhaus,24.02.22 02-03,Wärme,"160,000"
buergerhaus-kinderhaus,24.02.22 03-04,Wärme,"300,000"
buergerhaus-kinderhaus,24.02.22 04-05,Wärme,"300,000"
buergerhaus-kinderhaus,24.02.22 05-06,Wärme,"200,000"
buergerhaus-kinderhaus,24.02.22 06-07,Wärme,"160,000"
buergerhaus-kinderhaus,24.02.22 07-08,Wärme,"210,000"
buergerhaus-kinderhaus,24.02.22 08-09,Wärme,"230,000"
buergerhaus-kinderhaus,24.02.22 09-10,Wärme,"150,000"
buergerhaus-kinderhaus,24.02.22 10-11,Wärme,"140,000"
buergerhaus-kinderhaus,24.02.22 11-12,Wärme,"130,000"
buergerhaus-kinderhaus,24.02.22 12-13,Wärme,"160,000"
buergerhaus-kinderhaus,24.02.22 13-14,Wärme,"180,000"
buergerhaus-kinderhaus,24.02.22 14-15,Wärme,"130,000"
buergerhaus-kinderhaus,24.02.22 15-16,Wärme,"200,000"
buergerhaus-kinderhaus,24.02.22 16-17,Wärme,"330,000"
buergerhaus-kinderhaus,24.02.22 17-18,Wärme,"350,000"
buergerhaus-kinderhaus,24.02.22 18-19,Wärme,"320,000"
buergerhaus-kinderhaus,24.02.22 19-20,Wärme,"180,000"
buergerhaus-kinderhaus,24.02.22 20-21,Wärme,"140,000"
buergerhaus-kinderhaus,24.02.22 21-22,Wärme,"160,000"
buergerhaus-kinderhaus,24.02.22 22-23,Wärme,"210,000"
buergerhaus-kinderhaus,24.02.22 23-00,Wärme,"220,000"
buergerhaus-kinderhaus,23.02.22 00-01,Wärme,"90,000"
buergerhaus-kinderhaus,23.02.22 01-02,Wärme,"110,000"
buergerhaus-kinderhaus,23.02.22 02-03,Wärme,"180,000"
buergerhaus-kinderhaus,23.02.22 03-04,Wärme,"210,000"
buergerhaus-kinderhaus,23.02.22 04-05,Wärme,"260,000"
buergerhaus-kinderhaus,23.02.22 05-06,Wärme,"230,000"
buergerhaus-kinderhaus,23.02.22 06-07,Wärme,"240,000"
buergerhaus-kinderhaus,23.02.22 07-08,Wärme,"290,000"
buergerhaus-kinderhaus,23.02.22 08-09,Wärme,"390,000"
buergerhaus-kinderhaus,23.02.22 09-10,Wärme,"350,000"
buergerhaus-kinderhaus,23.02.22 10-11,Wärme,"320,000"
buergerhaus-kinderhaus,23.02.22 11-12,Wärme,"300,000"
buergerhaus-kinderhaus,23.02.22 12-13,Wärme,"230,000"
buergerhaus-kinderhaus,23.02.22 13-14,Wärme,"260,000"
buergerhaus-kinderhaus,23.02.22 14-15,Wärme,"250,000"
buergerhaus-kinderhaus,23.02.22 15-16,Wärme,"280,000"
buergerhaus-kinderhaus,23.02.22 16-17,Wärme,"180,000"
buergerhaus-kinderhaus,23.02.22 17-18,Wärme,"180,000"
buergerhaus-kinderhaus,23.02.22 18-19,Wärme,"160,000"
buergerhaus-kinderhaus,23.02.22 19-20,Wärme,"130,000"
buergerhaus-kinderhaus,23.02.22 20-21,Wärme,"120,000"
buergerhaus-kinderhaus,23.02.22 21-22,Wärme,"130,000"
buergerhaus-kinderhaus,23.02.22 22-23,Wärme,"150,000"
buergerhaus-kinderhaus,23.02.22 23-00,Wärme,"110,000"
buergerhaus-kinderhaus,22.02.22 00-01,Wärme,"70,000"
buergerhaus-kinderhaus,22.02.22 01-02,Wärme,"120,000"
buergerhaus-kinderhaus,22.02.22 02-03,Wärme,"150,000"
buergerhaus-kinderhaus,22.02.22 03-04,Wärme,"190,000"
buergerhaus-kinderhaus,22.02.22 04-05,Wärme,"180,000"
buergerhaus-kinderhaus,22.02.22 05-06,Wärme,"170,000"
buergerhaus-kinderhaus,22.02.22 06-07,Wärme,"180,000"
buergerhaus-kinderhaus,22.02.22 07-08,Wärme,"290,000"
buergerhaus-kinderhaus,22.02.22 08-09,Wärme,"300,000"
buergerhaus-kinderhaus,22.02.22 09-10,Wärme,"240,000"
buergerhaus-kinderhaus,22.02.22 10-11,Wärme,"220,000"
buergerhaus-kinderhaus,22.02.22 11-12,Wärme,"210,000"
buergerhaus-kinderhaus,22.02.22 12-13,Wärme,"250,000"
buergerhaus-kinderhaus,22.02.22 13-14,Wärme,"280,000"
buergerhaus-kinderhaus,22.02.22 14-15,Wärme,"250,000"
buergerhaus-kinderhaus,22.02.22 15-16,Wärme,"230,000"
buergerhaus-kinderhaus,22.02.22 16-17,Wärme,"160,000"
buergerhaus-kinderhaus,22.02.22 17-18,Wärme,"210,000"
buergerhaus-kinderhaus,22.02.22 18-19,Wärme,"230,000"
buergerhaus-kinderhaus,22.02.22 19-20,Wärme,"210,000"
buergerhaus-kinderhaus,22.02.22 20-21,Wärme,"200,000"
buergerhaus-kinderhaus,22.02.22 21-22,Wärme,"150,000"
buergerhaus-kinderhaus,22.02.22 22-23,Wärme,"180,000"
buergerhaus-kinderhaus,22.02.22 23-00,Wärme,"180,000"
buergerhaus-kinderhaus,21.02.22 00-01,Wärme,"110,000"
buergerhaus-kinderhaus,21.02.22 01-02,Wärme,"90,000"
buergerhaus-kinderhaus,21.02.22 02-03,Wärme,"190,000"
buergerhaus-kinderhaus,21.02.22 03-04,Wärme,"260,000"
buergerhaus-kinderhaus,21.02.22 04-05,Wärme,"220,000"
buergerhaus-kinderhaus,21.02.22 05-06,Wärme,"310,000"
buergerhaus-kinderhaus,21.02.22 06-07,Wärme,"230,000"
buergerhaus-kinderhaus,21.02.22 07-08,Wärme,"170,000"
buergerhaus-kinderhaus,21.02.22 08-09,Wärme,"420,000"
buergerhaus-kinderhaus,21.02.22 09-10,Wärme,"390,000"
buergerhaus-kinderhaus,21.02.22 10-11,Wärme,"390,000"
buergerhaus-kinderhaus,21.02.22 11-12,Wärme,"380,000"
buergerhaus-kinderhaus,21.02.22 12-13,Wärme,"370,000"
buergerhaus-kinderhaus,21.02.22 13-14,Wärme,"360,000"
buergerhaus-kinderhaus,21.02.22 14-15,Wärme,"360,000"
buergerhaus-kinderhaus,21.02.22 15-16,Wärme,"240,000"
buergerhaus-kinderhaus,21.02.22 16-17,Wärme,"250,000"
buergerhaus-kinderhaus,21.02.22 17-18,Wärme,"240,000"
buergerhaus-kinderhaus,21.02.22 18-19,Wärme,"250,000"
buergerhaus-kinderhaus,21.02.22 19-20,Wärme,"320,000"
buergerhaus-kinderhaus,21.02.22 20-21,Wärme,"330,000"
buergerhaus-kinderhaus,21.02.22 21-22,Wärme,"250,000"
buergerhaus-kinderhaus,21.02.22 22-23,Wärme,"230,000"
buergerhaus-kinderhaus,21.02.22 23-00,Wärme,"110,000"
buergerhaus-kinderhaus,20.02.22 00-01,Wärme,"100,000"
buergerhaus-kinderhaus,20.02.22 01-02,Wärme,"110,000"
buergerhaus-kinderhaus,20.02.22 02-03,Wärme,"270,000"
buergerhaus-kinderhaus,20.02.22 03-04,Wärme,"270,000"
buergerhaus-kinderhaus,20.02.22 04-05,Wärme,"210,000"
buergerhaus-kinderhaus,20.02.22 05-06,Wärme,"350,000"
buergerhaus-kinderhaus,20.02.22 06-07,Wärme,"320,000"
buergerhaus-kinderhaus,20.02.22 07-08,Wärme,"350,000"
buergerhaus-kinderhaus,20.02.22 08-09,Wärme,"370,000"
buergerhaus-kinderhaus,20.02.22 09-10,Wärme,"370,000"
buergerhaus-kinderhaus,20.02.22 10-11,Wärme,"350,000"
buergerhaus-kinderhaus,20.02.22 11-12,Wärme,"310,000"
buergerhaus-kinderhaus,20.02.22 12-13,Wärme,"260,000"
buergerhaus-kinderhaus,20.02.22 13-14,Wärme,"310,000"
buergerhaus-kinderhaus,20.02.22 14-15,Wärme,"370,000"
buergerhaus-kinderhaus,20.02.22 15-16,Wärme,"330,000"
buergerhaus-kinderhaus,20.02.22 16-17,Wärme,"320,000"
buergerhaus-kinderhaus,20.02.22 17-18,Wärme,"220,000"
buergerhaus-kinderhaus,20.02.22 18-19,Wärme,"120,000"
buergerhaus-kinderhaus,20.02.22 19-20,Wärme,"100,000"
buergerhaus-kinderhaus,20.02.22 20-21,Wärme,"110,000"
buergerhaus-kinderhaus,20.02.22 21-22,Wärme,"100,000"
buergerhaus-kinderhaus,20.02.22 22-23,Wärme,"160,000"
buergerhaus-kinderhaus,20.02.22 23-00,Wärme,"140,000"
buergerhaus-kinderhaus,19.02.22 00-01,Wärme,"50,000"
buergerhaus-kinderhaus,19.02.22 01-02,Wärme,"60,000"
buergerhaus-kinderhaus,19.02.22 02-03,Wärme,"230,000"
buergerhaus-kinderhaus,19.02.22 03-04,Wärme,"160,000"
buergerhaus-kinderhaus,19.02.22 04-05,Wärme,"190,000"
buergerhaus-kinderhaus,19.02.22 05-06,Wärme,"160,000"
buergerhaus-kinderhaus,19.02.22 06-07,Wärme,"170,000"
buergerhaus-kinderhaus,19.02.22 07-08,Wärme,"310,000"
buergerhaus-kinderhaus,19.02.22 08-09,Wärme,"290,000"
buergerhaus-kinderhaus,19.02.22 09-10,Wärme,"220,000"
buergerhaus-kinderhaus,19.02.22 10-11,Wärme,"150,000"
buergerhaus-kinderhaus,19.02.22 11-12,Wärme,"220,000"
buergerhaus-kinderhaus,19.02.22 12-13,Wärme,"210,000"
buergerhaus-kinderhaus,19.02.22 13-14,Wärme,"300,000"
buergerhaus-kinderhaus,19.02.22 14-15,Wärme,"240,000"
buergerhaus-kinderhaus,19.02.22 15-16,Wärme,"220,000"
buergerhaus-kinderhaus,19.02.22 16-17,Wärme,"200,000"
buergerhaus-kinderhaus,19.02.22 17-18,Wärme,"220,000"
buergerhaus-kinderhaus,19.02.22 18-19,Wärme,"190,000"
buergerhaus-kinderhaus,19.02.22 19-20,Wärme,"170,000"
buergerhaus-kinderhaus,19.02.22 20-21,Wärme,"130,000"
buergerhaus-kinderhaus,19.02.22 21-22,Wärme,"130,000"
buergerhaus-kinderhaus,19.02.22 22-23,Wärme,"110,000"
buergerhaus-kinderhaus,19.02.22 23-00,Wärme,"100,000"
buergerhaus-kinderhaus,18.02.22 00-01,Wärme,"70,000"
buergerhaus-kinderhaus,18.02.22 01-02,Wärme,"100,000"
buergerhaus-kinderhaus,18.02.22 02-03,Wärme,"160,000"
buergerhaus-kinderhaus,18.02.22 03-04,Wärme,"210,000"
buergerhaus-kinderhaus,18.02.22 04-05,Wärme,"250,000"
buergerhaus-kinderhaus,18.02.22 05-06,Wärme,"360,000"
buergerhaus-kinderhaus,18.02.22 06-07,Wärme,"330,000"
buergerhaus-kinderhaus,18.02.22 07-08,Wärme,"420,000"
buergerhaus-kinderhaus,18.02.22 08-09,Wärme,"410,000"
buergerhaus-kinderhaus,18.02.22 09-10,Wärme,"400,000"
buergerhaus-kinderhaus,18.02.22 10-11,Wärme,"370,000"
buergerhaus-kinderhaus,18.02.22 11-12,Wärme,"390,000"
buergerhaus-kinderhaus,18.02.22 12-13,Wärme,"300,000"
buergerhaus-kinderhaus,18.02.22 13-14,Wärme,"220,000"
buergerhaus-kinderhaus,18.02.22 14-15,Wärme,"200,000"
buergerhaus-kinderhaus,18.02.22 15-16,Wärme,"210,000"
buergerhaus-kinderhaus,18.02.22 16-17,Wärme,"180,000"
buergerhaus-kinderhaus,18.02.22 17-18,Wärme,"140,000"
buergerhaus-kinderhaus,18.02.22 18-19,Wärme,"190,000"
buergerhaus-kinderhaus,18.02.22 19-20,Wärme,"270,000"
buergerhaus-kinderhaus,18.02.22 20-21,Wärme,"290,000"
buergerhaus-kinderhaus,18.02.22 21-22,Wärme,"210,000"
buergerhaus-kinderhaus,18.02.22 22-23,Wärme,"120,000"
buergerhaus-kinderhaus,18.02.22 23-00,Wärme,"80,000"
buergerhaus-kinderhaus,17.02.22 00-01,Wärme,"100,000"
buergerhaus-kinderhaus,17.02.22 01-02,Wärme,"60,000"
buergerhaus-kinderhaus,17.02.22 02-03,Wärme,"80,000"
buergerhaus-kinderhaus,17.02.22 03-04,Wärme,"120,000"
buergerhaus-kinderhaus,17.02.22 04-05,Wärme,"220,000"
buergerhaus-kinderhaus,17.02.22 05-06,Wärme,"220,000"
buergerhaus-kinderhaus,17.02.22 06-07,Wärme,"140,000"
buergerhaus-kinderhaus,17.02.22 07-08,Wärme,"260,000"
buergerhaus-kinderhaus,17.02.22 08-09,Wärme,"300,000"
buergerhaus-kinderhaus,17.02.22 09-10,Wärme,"340,000"
buergerhaus-kinderhaus,17.02.22 10-11,Wärme,"330,000"
buergerhaus-kinderhaus,17.02.22 11-12,Wärme,"360,000"
buergerhaus-kinderhaus,17.02.22 12-13,Wärme,"320,000"
buergerhaus-kinderhaus,17.02.22 13-14,Wärme,"290,000"
buergerhaus-kinderhaus,17.02.22 14-15,Wärme,"250,000"
buergerhaus-kinderhaus,17.02.22 15-16,Wärme,"280,000"
buergerhaus-kinderhaus,17.02.22 16-17,Wärme,"330,000"
buergerhaus-kinderhaus,17.02.22 17-18,Wärme,"340,000"
buergerhaus-kinderhaus,17.02.22 18-19,Wärme,"280,000"
buergerhaus-kinderhaus,17.02.22 19-20,Wärme,"210,000"
buergerhaus-kinderhaus,17.02.22 20-21,Wärme,"230,000"
buergerhaus-kinderhaus,17.02.22 21-22,Wärme,"250,000"
buergerhaus-kinderhaus,17.02.22 22-23,Wärme,"250,000"
buergerhaus-kinderhaus,17.02.22 23-00,Wärme,"160,000"
buergerhaus-kinderhaus,16.02.22 00-01,Wärme,"100,000"
buergerhaus-kinderhaus,16.02.22 01-02,Wärme,"100,000"
buergerhaus-kinderhaus,16.02.22 02-03,Wärme,"160,000"
buergerhaus-kinderhaus,16.02.22 03-04,Wärme,"190,000"
buergerhaus-kinderhaus,16.02.22 04-05,Wärme,"220,000"
buergerhaus-kinderhaus,16.02.22 05-06,Wärme,"320,000"
buergerhaus-kinderhaus,16.02.22 06-07,Wärme,"220,000"
buergerhaus-kinderhaus,16.02.22 07-08,Wärme,"240,000"
buergerhaus-kinderhaus,16.02.22 08-09,Wärme,"250,000"
buergerhaus-kinderhaus,16.02.22 09-10,Wärme,"250,000"
buergerhaus-kinderhaus,16.02.22 10-11,Wärme,"240,000"
buergerhaus-kinderhaus,16.02.22 11-12,Wärme,"230,000"
buergerhaus-kinderhaus,16.02.22 12-13,Wärme,"220,000"
buergerhaus-kinderhaus,16.02.22 13-14,Wärme,"220,000"
buergerhaus-kinderhaus,16.02.22 14-15,Wärme,"180,000"
buergerhaus-kinderhaus,16.02.22 15-16,Wärme,"190,000"
buergerhaus-kinderhaus,16.02.22 16-17,Wärme,"220,000"
buergerhaus-kinderhaus,16.02.22 17-18,Wärme,"180,000"
buergerhaus-kinderhaus,16.02.22 18-19,Wärme,"120,000"
buergerhaus-kinderhaus,16.02.22 19-20,Wärme,"120,000"
buergerhaus-kinderhaus,16.02.22 20-21,Wärme,"100,000"
buergerhaus-kinderhaus,16.02.22 21-22,Wärme,"190,000"
buergerhaus-kinderhaus,16.02.22 22-23,Wärme,"140,000"
buergerhaus-kinderhaus,16.02.22 23-00,Wärme,"120,000"
buergerhaus-kinderhaus,15.02.22 00-01,Wärme,"200,000"
buergerhaus-kinderhaus,15.02.22 01-02,Wärme,"80,000"
buergerhaus-kinderhaus,15.02.22 02-03,Wärme,"90,000"
buergerhaus-kinderhaus,15.02.22 03-04,Wärme,"120,000"
buergerhaus-kinderhaus,15.02.22 04-05,Wärme,"210,000"
buergerhaus-kinderhaus,15.02.22 05-06,Wärme,"240,000"
buergerhaus-kinderhaus,15.02.22 06-07,Wärme,"230,000"
buergerhaus-kinderhaus,15.02.22 07-08,Wärme,"260,000"
buergerhaus-kinderhaus,15.02.22 08-09,Wärme,"180,000"
buergerhaus-kinderhaus,15.02.22 09-10,Wärme,"210,000"
buergerhaus-kinderhaus,15.02.22 10-11,Wärme,"320,000"
buergerhaus-kinderhaus,15.02.22 11-12,Wärme,"290,000"
buergerhaus-kinderhaus,15.02.22 12-13,Wärme,"220,000"
buergerhaus-kinderhaus,15.02.22 13-14,Wärme,"190,000"
buergerhaus-kinderhaus,15.02.22 14-15,Wärme,"180,000"
buergerhaus-kinderhaus,15.02.22 15-16,Wärme,"270,000"
buergerhaus-kinderhaus,15.02.22 16-17,Wärme,"220,000"
buergerhaus-kinderhaus,15.02.22 17-18,Wärme,"230,000"
buergerhaus-kinderhaus,15.02.22 18-19,Wärme,"260,000"
buergerhaus-kinderhaus,15.02.22 19-20,Wärme,"220,000"
buergerhaus-kinderhaus,15.02.22 20-21,Wärme,"220,000"
buergerhaus-kinderhaus,15.02.22 21-22,Wärme,"270,000"
buergerhaus-kinderhaus,15.02.22 22-23,Wärme,"250,000"
buergerhaus-kinderhaus,15.02.22 23-00,Wärme,"230,000"
buergerhaus-kinderhaus,14.02.22 00-01,Wärme,"90,000"
buergerhaus-kinderhaus,14.02.22 01-02,Wärme,"100,000"
buergerhaus-kinderhaus,14.02.22 02-03,Wärme,"180,000"
buergerhaus-kinderhaus,14.02.22 03-04,Wärme,"270,000"
buergerhaus-kinderhaus,14.02.22 04-05,Wärme,"200,000"
buergerhaus-kinderhaus,14.02.22 05-06,Wärme,"340,000"
buergerhaus-kinderhaus,14.02.22 06-07,Wärme,"310,000"
buergerhaus-kinderhaus,14.02.22 07-08,Wärme,"160,000"
buergerhaus-kinderhaus,14.02.22 08-09,Wärme,"280,000"
buergerhaus-kinderhaus,14.02.22 09-10,Wärme,"370,000"
buergerhaus-kinderhaus,14.02.22 10-11,Wärme,"370,000"
buergerhaus-kinderhaus,14.02.22 11-12,Wärme,"330,000"
buergerhaus-kinderhaus,14.02.22 12-13,Wärme,"330,000"
buergerhaus-kinderhaus,14.02.22 13-14,Wärme,"300,000"
buergerhaus-kinderhaus,14.02.22 14-15,Wärme,"280,000"
buergerhaus-kinderhaus,14.02.22 15-16,Wärme,"280,000"
buergerhaus-kinderhaus,14.02.22 16-17,Wärme,"210,000"
buergerhaus-kinderhaus,14.02.22 17-18,Wärme,"240,000"
buergerhaus-kinderhaus,14.02.22 18-19,Wärme,"190,000"
buergerhaus-kinderhaus,14.02.22 19-20,Wärme,"120,000"
buergerhaus-kinderhaus,14.02.22 20-21,Wärme,"130,000"
buergerhaus-kinderhaus,14.02.22 21-22,Wärme,"130,000"
buergerhaus-kinderhaus,14.02.22 22-23,Wärme,"200,000"
buergerhaus-kinderhaus,14.02.22 23-00,Wärme,"250,000"
buergerhaus-kinderhaus,13.02.22 00-01,Wärme,"60,000"
buergerhaus-kinderhaus,13.02.22 01-02,Wärme,"140,000"
buergerhaus-kinderhaus,13.02.22 02-03,Wärme,"160,000"
buergerhaus-kinderhaus,13.02.22 03-04,Wärme,"310,000"
buergerhaus-kinderhaus,13.02.22 04-05,Wärme,"220,000"
buergerhaus-kinderhaus,13.02.22 05-06,Wärme,"390,000"
buergerhaus-kinderhaus,13.02.22 06-07,Wärme,"370,000"
buergerhaus-kinderhaus,13.02.22 07-08,Wärme,"410,000"
buergerhaus-kinderhaus,13.02.22 08-09,Wärme,"410,000"
buergerhaus-kinderhaus,13.02.22 09-10,Wärme,"390,000"
buergerhaus-kinderhaus,13.02.22 10-11,Wärme,"380,000"
buergerhaus-kinderhaus,13.02.22 11-12,Wärme,"370,000"
buergerhaus-kinderhaus,13.02.22 12-13,Wärme,"390,000"
buergerhaus-kinderhaus,13.02.22 13-14,Wärme,"370,000"
buergerhaus-kinderhaus,13.02.22 14-15,Wärme,"290,000"
buergerhaus-kinderhaus,13.02.22 15-16,Wärme,"280,000"
buergerhaus-kinderhaus,13.02.22 16-17,Wärme,"310,000"
buergerhaus-kinderhaus,13.02.22 17-18,Wärme,"240,000"
buergerhaus-kinderhaus,13.02.22 18-19,Wärme,"150,000"
buergerhaus-kinderhaus,13.02.22 19-20,Wärme,"100,000"
buergerhaus-kinderhaus,13.02.22 20-21,Wärme,"120,000"
buergerhaus-kinderhaus,13.02.22 21-22,Wärme,"140,000"
buergerhaus-kinderhaus,13.02.22 22-23,Wärme,"150,000"
buergerhaus-kinderhaus,13.02.22 23-00,Wärme,"130,000"
buergerhaus-kinderhaus,12.02.22 00-01,Wärme,"130,000"
buergerhaus-kinderhaus,12.02.22 01-02,Wärme,"100,000"
buergerhaus-kinderhaus,12.02.22 02-03,Wärme,"120,000"
buergerhaus-kinderhaus,12.02.22 03-04,Wärme,"170,000"
buergerhaus-kinderhaus,12.02.22 04-05,Wärme,"210,000"
buergerhaus-kinderhaus,12.02.22 05-06,Wärme,"280,000"
buergerhaus-kinderhaus,12.02.22 06-07,Wärme,"250,000"
buergerhaus-kinderhaus,12.02.22 07-08,Wärme,"320,000"
buergerhaus-kinderhaus,12.02.22 08-09,Wärme,"300,000"
buergerhaus-kinderhaus,12.02.22 09-10,Wärme,"250,000"
buergerhaus-kinderhaus,12.02.22 10-11,Wärme,"260,000"
buergerhaus-kinderhaus,12.02.22 11-12,Wärme,"270,000"
buergerhaus-kinderhaus,12.02.22 12-13,Wärme,"270,000"
buergerhaus-kinderhaus,12.02.22 13-14,Wärme,"210,000"
buergerhaus-kinderhaus,12.02.22 14-15,Wärme,"190,000"
buergerhaus-kinderhaus,12.02.22 15-16,Wärme,"340,000"
buergerhaus-kinderhaus,12.02.22 16-17,Wärme,"390,000"
buergerhaus-kinderhaus,12.02.22 17-18,Wärme,"310,000"
buergerhaus-kinderhaus,12.02.22 18-19,Wärme,"160,000"
buergerhaus-kinderhaus,12.02.22 19-20,Wärme,"150,000"
buergerhaus-kinderhaus,12.02.22 20-21,Wärme,"130,000"
buergerhaus-kinderhaus,12.02.22 21-22,Wärme,"200,000"
buergerhaus-kinderhaus,12.02.22 22-23,Wärme,"180,000"
buergerhaus-kinderhaus,12.02.22 23-00,Wärme,"130,000"
buergerhaus-kinderhaus,11.02.22 00-01,Wärme,"80,000"
buergerhaus-kinderhaus,11.02.22 01-02,Wärme,"100,000"
buergerhaus-kinderhaus,11.02.22 02-03,Wärme,"170,000"
buergerhaus-kinderhaus,11.02.22 03-04,Wärme,"210,000"
