Immobilie,Datum,Energietyp,Verbrauch
buergerhaus-kinderhaus,10.03.22 19-20,Wärme,"110,000"
buergerhaus-kinderhaus,10.03.22 20-21,Wärme,"140,000"
buergerhaus-kinderhaus,10.03.22 21-22,Wärme,"250,000"
buergerhaus-kinderhaus,10.03.22 22-23,Wärme,"210,000"
buergerhaus-kinderhaus,10.03.22 23-00,Wärme,"120,000"
buergerhaus-kinderhaus,09.03.22 00-01,Wärme,"90,000"
buergerhaus-kinderhaus,09.03.22 01-02,Wärme,"110,000"
buergerhaus-kinderhaus,09.03.22 02-03,Wärme,"190,000"
buergerhaus-kinderhaus,09.03.22 03-04,Wärme,"210,000"
buergerhaus-kinderhaus,09.03.22 04-05,Wärme,"260,000"
buergerhaus-kinderhaus,09.03.22 05-06,Wärme,"380,000"
buergerhaus-kinderhaus,09.03.22 06-07,Wärme,"410,000"
buergerhaus-kinderhaus,09.03.22 07-08,Wärme,"470,000"
buergerhaus-kinderhaus,09.03.22 08-09,Wärme,"420,000"
buergerhaus-kinderhaus,09.03.22 09-10,Wärme,"360,000"
buergerhaus-kinderhaus,09.03.22 10-11,Wärme,"310,000"
buergerhaus-kinderhaus,09.03.22 11-12,Wärme,"360,000"
buergerhaus-kinderhaus,09.03.22 12-13,Wärme,"330,000"
buergerhaus-kinderhaus,09.03.22 13-14,Wärme,"210,000"
buergerhaus-kinderhaus,09.03.22 14-15,Wärme,"190,000"
buergerhaus-kinderhaus,09.03.22 15-16,Wärme,"170,000"
buergerhaus-kinderhaus,09.03.22 16-17,Wärme,"260,000"
buergerhaus-kinderhaus,09.03.22 17-18,Wärme,"290,000"
buergerhaus-kinderhaus,09.03.22 18-19,Wärme,"200,000"
buergerhaus-kinderhaus,09.03.22 19-20,Wärme,"140,000"
buergerhaus-kinderhaus,09.03.22 20-21,Wärme,"110,000"
buergerhaus-kinderhaus,09.03.22 21-22,Wärme,"140,000"
buergerhaus-kinderhaus,09.03.22 22-23,Wärme,"100,000"
buergerhaus-kinderhaus,09.03.22 23-00,Wärme,"150,000"
buergerhaus-kinderhaus,08.03.22 00-01,Wärme,"140,000"
buergerhaus-kinderhaus,08.03.22 01-02,Wärme,"140,000"
buergerhaus-kinderhaus,08.03.22 02-03,Wärme,"100,000"
buergerhaus-kinderhaus,08.03.22 03-04,Wärme,"160,000"
buergerhaus-kinderhaus,08.03.22 04-05,Wärme,"220,000"
buergerhaus-kinderhaus,08.03.22 05-06,Wärme,"280,000"
buergerhaus-kinderhaus,08.03.22 06-07,Wärme,"260,000"
buergerhaus-kinderhaus,08.03.22 07-08,Wärme,"270,000"
buergerhaus-kinderhaus,08.03.22 08-09,Wärme,"270,000"
buergerhaus-kinderhaus,08.03.22 09-10,Wärme,"360,000"
buergerhaus-kinderhaus,08.03.22 10-11,Wärme,"290,000"
buergerhaus-kinderhaus,08.03.22 11-12,Wärme,"240,000"
